Code1 	 Code2 	 Name 	 #Developers 	 #Commits 	 #Languages
AC	ACIS	ascension island	6	492	C:4,Dart:4,Roff:2,C#:6,Python:2,JavaScript:4,Kotlin:6,Objective-C++:2,Jupyter Notebook:2,Java:20,C++:4
AD	AND	andorra	69	8074	:12,CSS:17,C#:17,JavaScript:118,Objective-C:8,Jupyter Notebook:2,C:14,Liquid:4,CMake:22,Processing:20,Vala:1,Visual Basic:4,Java:65,C++:24,Go:2,PowerShell:4,Emacs Lisp:4,Python:92,Nginx:2,Dockerfile:6,Ruby:24,R:2,Swift:20,Shell:27,HTML:30,TypeScript:8,Vue:18,Groovy:30,PHP:14
AE	ARE	united arab emirates	28735	5102942	:2624,Vim script:1791,Haxe:107,ABAP:4,C#:12109,Rich Text Format:39,Handlebars:4,Stan:10,Crystal:150,COBOL:7,Jsonnet:27,XML:23,Mako:6,Slash:2,GDScript:91,BlitzBasic:3,Scala:1769,LabVIEW:14,Go:9061,OpenSCAD:118,KiCad Layout:39,Logos:93,QMake:17,PLpgSQL:145,Elm:157,nesC:12,Markdown:2,Nginx:32,PureBasic:12,Graphviz (DOT):2,XS:2,Thrift:2,AutoHotkey:79,Brainfuck:9,Ceylon:4,Lua:1702,NCL:3,Hy:4,Liquid:40,Fortran:407,ECL:8,MQL4:1,Eagle:112,Squirrel:22,wdl:6,Visual Basic:375,SQL:3,Java:29336,Dart:744,Forth:19,PowerShell:1619,Game Maker Language:37,Eiffel:4,Turing:2,Filebench WML:2,Glyph:6,OpenEdge ABL:49,Opa:2,Idris:9,AutoIt:52,G-code:14,Kotlin:1325,V:2,IDL:42,Augeas:1,XQuery:56,Objective-C:3276,Smarty:306,Ballerina:1,MATLAB:1778,Scheme:156,Inno Setup:10,Standard ML:55,Xojo:16,Agda:8,Papyrus:6,Pawn:5,GCC Machine Description:22,UnrealScript:2,HyPhy:12,Swift:4337,Python:46024,Racket:300,Ruby:11990,R:4895,XC:9,ZAP:4,Inform 7:6,ActionScript:151,Gherkin:34,RobotFramework:17,P4:4,GDB:2,Pure Data:1,Apex:106,ANTLR:8,Julia:695,Prolog:82,SystemVerilog:82,M:23,HCL:597,Objective-C++:39,Objective-J:7,CLIPS:4,C:12793,Emacs Lisp:785,Frege:2,Modelica:8,MAXScript:19,Haskell:1204,Protocol Buffer:23,Groff:42,LookML:2,Assembly:576,AngelScript:5,Red:1,Rebol:10,TSQL:72,ChucK:5,Max:17,Dockerfile:1025,Factor:2,GAP:14,PLSQL:56,Dylan:2,Hack:48,Arduino:547,ZenScript:2,Modula-3:2,SuperCollider:22,PostScript:89,Puppet:243,Brightscript:20,PigLatin:7,YARA:4,Clojure:1149,Common Workflow Language:4,OCaml:460,NSIS:27,Common Lisp:311,LSL:6,Tea:2,ColdFusion:33,Mercury:5,mcfunction:4,Gnuplot:20,Csound Document:1,C++:16804,LoomScript:14,MQL5:4,SQF:45,NetLogo:15,TLA:8,Bluespec:4,CMake:384,Smali:5,AppleScript:56,XSLT:221,FreeMarker:36,Ren&#39;Py:13,Coq:100,Erlang:243,QML:62,Tcl:106,Terra:7,Groovy:972,EmberScript:4,Nim:156,Nextflow:8,Xtend:2,Ragel:2,TeX:2084,JavaScript:62303,D:155,Mathematica:168,ZIL:6,PHP:12140,ATS:2,Lean:11,Zig:8,Processing:263,DIGITAL Command Language:30,HLSL:6,Genshi:1,Propeller Spin:64,Chapel:16,GLSL:50,F#:165,Self:1,Rascal:6,IGOR Pro:2,SMT:14,Smalltalk:55,Io:9,Cycript:2,SourcePawn:138,Yacc:14,REALbasic:54,Cirru:6,ASP:125,SaltStack:62,Gosu:3,JSONiq:2,Bro:6,Perl 6:73,ShaderLab:28,Jupyter Notebook:9454,Stata:31,ApacheConf:75,Grace:8,APL:12,Vala:72,Gettext Catalog:8,Jolie:2,Ada:26,Cuda:155,M4:23,Makefile:1410,Solidity:11,MoonScript:17,RPC:14,Elixir:929,LiveScript:36,Pony:2,Roff:120,Shell:11791,YASnippet:12,UrWeb:1,Lex:16,Vue:981,Dhall:14,Perl:1982,F*:2,CSS:10845,GAMS:12,TypeScript:7126,Diff:4,LilyPond:25,SAS:32,Kit:2,PureScript:89,WebAssembly:28,Verilog:217,API Blueprint:11,Nix:91,SQLPL:46,Lasso:16,AGS Script:6,VHDL:124,HTML:24054,Component Pascal:2,AMPL:19,Uno:2,DTrace:2,Awk:32,Scilab:12,RAML:15,CoffeeScript:884,Pascal:195,Batchfile:299,Web Ontology Language:25,Parrot:1,AspectJ:3,Pep8:4,POV-Ray SDL:6,Nu:4,DM:22,LLVM:32,Rust:2742,BitBake:28
AF	AFG	afghanistan	328	11896	:67,CSS:130,TeX:2,JavaScript:398,Objective-C:4,Lua:22,Jupyter Notebook:25,C:20,Stata:4,C#:66,Visual Basic:6,HTML:208,C++:50,Go:2,Dart:91,Makefile:2,Tcl:2,Python:77,Pascal:1,Scala:6,Clojure:4,CoffeeScript:5,Dockerfile:8,Ruby:5,R:24,Swift:1,Shell:38,XSLT:1,Java:355,TypeScript:69,Logos:4,ApacheConf:1,Kotlin:13,Vue:51,Batchfile:2,Groovy:4,PHP:307
AG	ATG	antigua & barbuda	2	150	Go:10,Swift:2,Kotlin:4,Java:6
AI	AIA	anguilla	2	174	JavaScript:4,HTML:4,Java:16,C#:2
AL	ALB	albania	497	40798	:61,Vim script:5,PureBasic:1,Objective-C:33,Smarty:2,PHP:577,Scheme:2,C#:253,Agda:2,QML:12,Scala:10,C++:91,Go:62,Makefile:10,Solidity:2,LookML:2,Python:212,Hack:7,NetLogo:2,CMake:2,Ruby:64,R:6,Shell:85,XSLT:3,Java:546,Lex:1,ActionScript:3,PLpgSQL:6,GCC Machine Description:2,Vue:46,Perl:3,Dockerfile:12,Apex:2,CSS:235,TeX:2,F#:2,JavaScript:1233,Nix:2,Jupyter Notebook:8,C:74,SQLPL:2,Haskell:4,Visual Basic:7,HTML:390,Assembly:5,Dart:6,Red:2,PowerShell:3,TSQL:3,Rust:10,CoffeeScript:2,Pascal:1,Swift:24,TypeScript:194,Arduino:2,Kotlin:8,PostScript:2,Batchfile:2,ASP:2
AM	ARM	armenia	1510	131899	:111,Vim script:34,LabVIEW:2,Common Lisp:2,Elm:2,Scala:10,C++:743,Go:102,Roff:2,Hack:3,CMake:4,XSLT:1,HTML:1097,FreeMarker:1,OCaml:24,PLpgSQL:9,Erlang:2,QML:2,Tcl:2,Groovy:42,Pascal:12,AutoHotkey:3,JavaScript:4554,D:2,Mathematica:5,Liquid:4,Processing:3,DIGITAL Command Language:2,Visual Basic:8,Coq:2,Java:1512,Dart:21,PowerShell:10,Io:1,Swift:376,AutoIt:2,Yacc:2,PHP:1390,ASP:1,Agda:4,ShaderLab:3,Objective-C:122,Smarty:4,Jupyter Notebook:196,Inno Setup:2,C#:842,Modula-2:24,TeX:23,Makefile:48,Solidity:2,Python:851,LLVM:2,Elixir:55,Verilog:8,Ruby:193,R:63,Shell:253,ZAP:12,ActionScript:5,Eagle:2,Vue:87,Perl:11,Pure Data:2,MATLAB:10,CSS:644,Julia:1,Prolog:4,SystemVerilog:2,C:288,Emacs Lisp:8,SQLPL:10,Haskell:28,Groff:2,Assembly:25,AngelScript:2,ZIL:8,Kotlin:119,TSQL:2,Rust:37,CoffeeScript:12,Dockerfile:23,Batchfile:10,Lua:14,PLSQL:6,TypeScript:536,ApacheConf:2,Arduino:11,Puppet:4,Component Pascal:2
AO	AGO	angola	233	15861	:31,Bro:2,R:2,CSS:138,TeX:2,JavaScript:357,Objective-C:8,Jupyter Notebook:12,C:38,C#:78,SQLPL:2,Haskell:2,Perl:2,Visual Basic:2,HTML:204,C++:27,Go:52,Dart:217,Makefile:5,GCC Machine Description:4,TSQL:2,Python:190,Hack:1,Elixir:6,CoffeeScript:2,Dockerfile:12,Ruby:68,Roff:2,Swift:10,Shell:34,PLpgSQL:2,Java:279,TypeScript:64,Elm:2,ActionScript:2,Eagle:2,Kotlin:86,Vue:20,PHP:167
AQ	ATA	antarctica	169	19197	:27,Vim script:6,Perl:5,Perl 6:2,Objective-C:5,Jupyter Notebook:34,LSL:2,C#:124,GDScript:34,Ruby:20,Vala:2,Scala:7,C++:158,Go:35,Roff:2,Makefile:8,Idris:2,Python:276,LiveScript:4,CMake:1,Smali:4,R:15,GLSL:2,Shell:83,Java:203,ActionScript:2,Erlang:6,QML:2,Vue:6,PHP:55,Nim:1,CSS:62,TeX:9,JavaScript:287,HCL:2,Lua:17,Mathematica:2,C:66,OCaml:18,Haskell:14,HTML:157,Assembly:6,Dart:2,Julia:2,PowerShell:7,Rascal:6,Rust:35,CoffeeScript:3,Pascal:35,Swift:15,TypeScript:15,ZenScript:2,Kotlin:11,Batchfile:2
